date,de_orders_index,de_production_index,us_durable_goods_orders_musd,us_production_index
2018-01-01,97.7,107.2,228219,101.4625
2018-02-01,95.8,104.9,236950,101.7085
2018-03-01,97.9,106.4,244343,102.2067
2018-04-01,95.4,106.2,243872,103.3329
2018-05-01,97.5,108.0,243168,102.4024
2018-06-01,96.5,107.5,243778,103.198
2018-07-01,98.1,106.0,235786,103.3646
2018-08-01,96.6,107.2,245657,104.0327
2018-09-01,98.7,106.5,247957,104.1004
2018-10-01,96.0,106.0,238903,103.9856
2018-11-01,98.3,104.2,235930,104.0681
2018-12-01,98.4,105.6,243401,104.0936
2019-01-01,96.3,105.1,236180,103.4021
2019-02-01,94.3,105.0,231710,102.8371
2019-03-01,90.5,106.0,240465,102.8757
2019-04-01,90.6,104.7,232744,102.274
2019-05-01,90.4,104.8,224565,102.392
2019-06-01,89.9,103.7,224890,102.4375
2019-07-01,91.5,103.6,228956,101.9408
2019-08-01,90.1,104.0,230355,102.639
2019-09-01,91.4,103.2,226791,102.2917
2019-10-01,88.9,102.4,226218,101.4281
2019-11-01,90.2,103.1,218719,101.9372
2019-12-01,90.7,100.8,222265,101.7003
2020-01-01,90.7,104.3,233656,101.0338
2020-02-01,91.1,104.4,240355,101.3735
2020-03-01,78.2,95.5,204710,97.4078
2020-04-01,59.8,78.1,165166,84.5619
2020-05-01,68.6,85.0,184417,85.9604
2020-06-01,93.3,93.5,202777,91.5934
2020-07-01,85.6,94.5,223750,95.0256
2020-08-01,88.2,94.8,226872,95.9549
2020-09-01,90.9,96.7,230481,95.9669
2020-10-01,94.5,100.0,236338,96.7394
2020-11-01,96.1,101.4,237115,97.0816
2020-12-01,95.3,102.7,241814,98.363
2021-01-01,91.6,100.4,249937,98.8822
2021-02-01,96.0,98.3,251426,95.6149
2021-03-01,100.5,101.3,253805,98.3856
2021-04-01,98.4,101.1,252613,98.5587
2021-05-01,98.9,100.5,253009,99.4333
2021-06-01,109.9,98.7,258284,99.7987
2021-07-01,108.6,100.1,259416,100.2519
2021-08-01,97.0,95.7,264287,100.0437
2021-09-01,93.6,96.4,259192,98.8579
2021-10-01,96.7,99.4,263534,100.1861
2021-11-01,95.7,99.8,268650,100.8654
2021-12-01,104.9,100.5,277487,100.5726
2022-01-01,99.3,100.6,280925,100.1856
2022-02-01,98.2,100.6,277036,100.8064
2022-03-01,97.9,96.3,277554,101.3907
2022-04-01,96.5,97.5,279157,101.44
2022-05-01,94.7,98.8,278740,101.3335
2022-06-01,95.5,99.1,284763,101.018
2022-07-01,92.8,98.9,284460,101.223
2022-08-01,90.8,98.1,282368,101.0963
2022-09-01,91.8,99.7,282430,101.2918
2022-10-01,90.6,98.9,287071,101.2529
2022-11-01,89.2,99.3,279095,100.9552
2022-12-01,93.0,96.6,293358,99.7664
2023-01-01,86.9,98.8,288874,100.505
2023-02-01,91.7,100.8,280693,100.6416
2023-03-01,86.9,98.3,289270,101.0205
2023-04-01,86.3,97.9,290168,101.253
2023-05-01,92.1,99.4,289707,100.9286
2023-06-01,92.9,97.0,303971,100.1196
2023-07-01,84.0,96.5,293278,100.9067
2023-08-01,86.4,96.2,289128,100.8393
2023-09-01,82.4,95.5,298229,101.0211
2023-10-01,84.0,95.0,285976,100.4689
2023-11-01,83.1,94.7,298570,100.8639
2023-12-01,91.7,93.0,304324,100.6031
2024-01-01,81.2,93.8,280614,99.2223
2024-02-01,81.8,95.3,282623,100.285
2024-03-01,79.5,93.9,287423,100.4575
2024-04-01,79.2,93.9,286972,100.2434
2024-05-01,79.5,91.8,286829,100.863
2024-06-01,87.5,93.3,281128,100.894
2024-07-01,88.7,91.2,293234,99.9757
2024-08-01,79.6,93.2,289926,100.4309
2024-09-01,84.0,91.6,292469,99.8084
2024-10-01,78.8,91.2,293266,99.4695
2024-11-01,81.6,92.1,288340,99.2925
2024-12-01,93.3,91.2,290559,100.3273
2025-01-01,81.6,92.1,291195,100.0647
2025-02-01,80.8,91.1,293985,101.0993
2025-03-01,82.5,93.3,316215,101.0404
2025-04-01,84.3,91.7,295229,101.1279
2025-05-01,78.4,91.6,344069,100.9655
2025-06-01,80.2,91.5,311761,101.4785
2025-07-01,79.0,92.5,303032,101.894
2025-08-01,82.5,89.9,312138,101.6247
2025-09-01,81.1,90.6,314147,101.7059
2025-10-01,89.2,92.3,307570,101.257
2025-11-01,94.9,92.5,324305,101.3775
2025-12-01,103.2,91.6,319898,101.6296
