sep=,
observation_dateDATE,observation_dateYear,observation_dateQuarter,observation_dateMonth,observation_dateDAY,VersionVersion,VersionCategory,VersionType,DGORDER,DGORDERUnit
1992-02-01,1992,19921,199202,1,Actual,Actuals,public,114535,USD
1992-03-01,1992,19921,199203,1,Actual,Actuals,public,120025,USD
1992-04-01,1992,19922,199204,1,Actual,Actuals,public,124470,USD
1992-05-01,1992,19922,199205,1,Actual,Actuals,public,125822,USD
1992-06-01,1992,19922,199206,1,Actual,Actuals,public,122834,USD
1992-07-01,1992,19923,199207,1,Actual,Actuals,public,122590,USD
1992-08-01,1992,19923,199208,1,Actual,Actuals,public,120411,USD
1992-09-01,1992,19923,199209,1,Actual,Actuals,public,120711,USD
1992-10-01,1992,19924,199210,1,Actual,Actuals,public,127392,USD
1992-11-01,1992,19924,199211,1,Actual,Actuals,public,122374,USD
1992-12-01,1992,19924,199212,1,Actual,Actuals,public,126080,USD
1993-01-01,1993,19931,199301,1,Actual,Actuals,public,121637,USD
1993-02-01,1993,19931,199302,1,Actual,Actuals,public,128854,USD
1993-03-01,1993,19931,199303,1,Actual,Actuals,public,126762,USD
1993-04-01,1993,19932,199304,1,Actual,Actuals,public,127395,USD
1993-05-01,1993,19932,199305,1,Actual,Actuals,public,126529,USD
1993-06-01,1993,19932,199306,1,Actual,Actuals,public,130212,USD
1993-07-01,1993,19933,199307,1,Actual,Actuals,public,128111,USD
1993-08-01,1993,19933,199308,1,Actual,Actuals,public,129378,USD
1993-09-01,1993,19933,199309,1,Actual,Actuals,public,127233,USD
1993-10-01,1993,19934,199310,1,Actual,Actuals,public,133168,USD
1993-11-01,1993,19934,199311,1,Actual,Actuals,public,130391,USD
1993-12-01,1993,19934,199312,1,Actual,Actuals,public,133565,USD
1994-01-01,1994,19941,199401,1,Actual,Actuals,public,138498,USD
1994-02-01,1994,19941,199402,1,Actual,Actuals,public,137141,USD
1994-03-01,1994,19941,199403,1,Actual,Actuals,public,136548,USD
1994-04-01,1994,19942,199404,1,Actual,Actuals,public,140336,USD
1994-05-01,1994,19942,199405,1,Actual,Actuals,public,142630,USD
1994-06-01,1994,19942,199406,1,Actual,Actuals,public,145063,USD
1994-07-01,1994,19943,199407,1,Actual,Actuals,public,145013,USD
1994-08-01,1994,19943,199408,1,Actual,Actuals,public,145884,USD
1994-09-01,1994,19943,199409,1,Actual,Actuals,public,145487,USD
1994-10-01,1994,19944,199410,1,Actual,Actuals,public,149547,USD
1994-11-01,1994,19944,199411,1,Actual,Actuals,public,150038,USD
1994-12-01,1994,19944,199412,1,Actual,Actuals,public,152489,USD
1995-01-01,1995,19951,199501,1,Actual,Actuals,public,150459,USD
1995-02-01,1995,19951,199502,1,Actual,Actuals,public,153856,USD
1995-03-01,1995,19951,199503,1,Actual,Actuals,public,152888,USD
1995-04-01,1995,19952,199504,1,Actual,Actuals,public,151401,USD
1995-05-01,1995,19952,199505,1,Actual,Actuals,public,152838,USD
1995-06-01,1995,19952,199506,1,Actual,Actuals,public,150051,USD
1995-07-01,1995,19953,199507,1,Actual,Actuals,public,148915,USD
1995-08-01,1995,19953,199508,1,Actual,Actuals,public,154372,USD
1995-09-01,1995,19953,199509,1,Actual,Actuals,public,160175,USD
1995-10-01,1995,19954,199510,1,Actual,Actuals,public,155473,USD
1995-11-01,1995,19954,199511,1,Actual,Actuals,public,156146,USD
1995-12-01,1995,19954,199512,1,Actual,Actuals,public,163279,USD
1996-01-01,1996,19961,199601,1,Actual,Actuals,public,155806,USD
1996-02-01,1996,19961,199602,1,Actual,Actuals,public,150773,USD
1996-03-01,1996,19961,199603,1,Actual,Actuals,public,164976,USD
1996-04-01,1996,19962,199604,1,Actual,Actuals,public,156830,USD
1996-05-01,1996,19962,199605,1,Actual,Actuals,public,164502,USD
1996-06-01,1996,19962,199606,1,Actual,Actuals,public,164599,USD
1996-07-01,1996,19963,199607,1,Actual,Actuals,public,163588,USD
1996-08-01,1996,19963,199608,1,Actual,Actuals,public,157310,USD
1996-09-01,1996,19963,199609,1,Actual,Actuals,public,165442,USD
1996-10-01,1996,19964,199610,1,Actual,Actuals,public,165266,USD
1996-11-01,1996,19964,199611,1,Actual,Actuals,public,170783,USD
1996-12-01,1996,19964,199612,1,Actual,Actuals,public,162332,USD
1997-01-01,1997,19971,199701,1,Actual,Actuals,public,161827,USD
1997-02-01,1997,19971,199702,1,Actual,Actuals,public,170221,USD
1997-03-01,1997,19971,199703,1,Actual,Actuals,public,167568,USD
1997-04-01,1997,19972,199704,1,Actual,Actuals,public,174054,USD
1997-05-01,1997,19972,199705,1,Actual,Actuals,public,168586,USD
1997-06-01,1997,19972,199706,1,Actual,Actuals,public,174828,USD
1997-07-01,1997,19973,199707,1,Actual,Actuals,public,178860,USD
1997-08-01,1997,19973,199708,1,Actual,Actuals,public,177302,USD
1997-09-01,1997,19973,199709,1,Actual,Actuals,public,177835,USD
1997-10-01,1997,19974,199710,1,Actual,Actuals,public,177801,USD
1997-11-01,1997,19974,199711,1,Actual,Actuals,public,191187,USD
1997-12-01,1997,19974,199712,1,Actual,Actuals,public,173770,USD
1998-01-01,1998,19981,199801,1,Actual,Actuals,public,174288,USD
1998-02-01,1998,19981,199802,1,Actual,Actuals,public,181270,USD
1998-03-01,1998,19981,199803,1,Actual,Actuals,public,176886,USD
1998-04-01,1998,19982,199804,1,Actual,Actuals,public,180915,USD
1998-05-01,1998,19982,199805,1,Actual,Actuals,public,180634,USD
1998-06-01,1998,19982,199806,1,Actual,Actuals,public,172189,USD
1998-07-01,1998,19983,199807,1,Actual,Actuals,public,170459,USD
1998-08-01,1998,19983,199808,1,Actual,Actuals,public,179033,USD
1998-09-01,1998,19983,199809,1,Actual,Actuals,public,181422,USD
1998-10-01,1998,19984,199810,1,Actual,Actuals,public,178527,USD
1998-11-01,1998,19984,199811,1,Actual,Actuals,public,182400,USD
1998-12-01,1998,19984,199812,1,Actual,Actuals,public,178424,USD
1999-01-01,1999,19991,199901,1,Actual,Actuals,public,186527,USD
