sep=,
observation_dateDATE,observation_dateYear,observation_dateQuarter,observation_dateMonth,observation_dateDAY,VersionVersion,VersionCategory,VersionType,INDPRO,INDPROUnit
1919-01-01,1919,19191,191901,1,Actual,Actuals,public,4.8739,
1919-02-01,1919,19191,191902,1,Actual,Actuals,public,4.6585,
1919-03-01,1919,19191,191903,1,Actual,Actuals,public,4.5238,
1919-04-01,1919,19192,191904,1,Actual,Actuals,public,4.6046,
1919-05-01,1919,19192,191905,1,Actual,Actuals,public,4.6315,
1919-06-01,1919,19192,191906,1,Actual,Actuals,public,4.9277,
1919-07-01,1919,19193,191907,1,Actual,Actuals,public,5.2239,
1919-08-01,1919,19193,191908,1,Actual,Actuals,public,5.3047,
1919-09-01,1919,19193,191909,1,Actual,Actuals,public,5.197,
1919-10-01,1919,19194,191910,1,Actual,Actuals,public,5.1432,
1919-11-01,1919,19194,191911,1,Actual,Actuals,public,5.0624,
1919-12-01,1919,19194,191912,1,Actual,Actuals,public,5.1432,
1920-01-01,1920,19201,192001,1,Actual,Actuals,public,5.6279,
1920-02-01,1920,19201,192002,1,Actual,Actuals,public,5.6279,
1920-03-01,1920,19201,192003,1,Actual,Actuals,public,5.5201,
1920-04-01,1920,19202,192004,1,Actual,Actuals,public,5.2239,
1920-05-01,1920,19202,192005,1,Actual,Actuals,public,5.3586,
1920-06-01,1920,19202,192006,1,Actual,Actuals,public,5.4124,
1920-07-01,1920,19203,192007,1,Actual,Actuals,public,5.2778,
1920-08-01,1920,19203,192008,1,Actual,Actuals,public,5.3047,
1920-09-01,1920,19203,192009,1,Actual,Actuals,public,5.1162,
1920-10-01,1920,19204,192010,1,Actual,Actuals,public,4.9008,
1920-11-01,1920,19204,192011,1,Actual,Actuals,public,4.4969,
1920-12-01,1920,19204,192012,1,Actual,Actuals,public,4.2276,
1921-01-01,1921,19211,192101,1,Actual,Actuals,public,3.9853,
1921-02-01,1921,19211,192102,1,Actual,Actuals,public,3.9045,
1921-03-01,1921,19211,192103,1,Actual,Actuals,public,3.7968,
1921-04-01,1921,19212,192104,1,Actual,Actuals,public,3.7968,
1921-05-01,1921,19212,192105,1,Actual,Actuals,public,3.9045,
1921-06-01,1921,19212,192106,1,Actual,Actuals,public,3.8776,
1921-07-01,1921,19213,192107,1,Actual,Actuals,public,3.8506,
1921-08-01,1921,19213,192108,1,Actual,Actuals,public,3.9853,
1921-09-01,1921,19213,192109,1,Actual,Actuals,public,4.0122,
1921-10-01,1921,19214,192110,1,Actual,Actuals,public,4.2545,
1921-11-01,1921,19214,192111,1,Actual,Actuals,public,4.2007,
1921-12-01,1921,19214,192112,1,Actual,Actuals,public,4.1738,
1922-01-01,1922,19221,192201,1,Actual,Actuals,public,4.3353,
1922-02-01,1922,19221,192202,1,Actual,Actuals,public,4.5238,
1922-03-01,1922,19221,192203,1,Actual,Actuals,public,4.7662,
1922-04-01,1922,19222,192204,1,Actual,Actuals,public,4.6046,
1922-05-01,1922,19222,192205,1,Actual,Actuals,public,4.847,
1922-06-01,1922,19222,192206,1,Actual,Actuals,public,5.0893,
1922-07-01,1922,19223,192207,1,Actual,Actuals,public,5.0893,
1922-08-01,1922,19223,192208,1,Actual,Actuals,public,4.9816,
1922-09-01,1922,19223,192209,1,Actual,Actuals,public,5.2509,
1922-10-01,1922,19224,192210,1,Actual,Actuals,public,5.5471,
1922-11-01,1922,19224,192211,1,Actual,Actuals,public,5.7894,
1922-12-01,1922,19224,192212,1,Actual,Actuals,public,5.951,
1923-01-01,1923,19231,192301,1,Actual,Actuals,public,5.8163,
1923-02-01,1923,19231,192302,1,Actual,Actuals,public,5.8971,
1923-03-01,1923,19231,192303,1,Actual,Actuals,public,6.0856,
1923-04-01,1923,19232,192304,1,Actual,Actuals,public,6.2203,
1923-05-01,1923,19232,192305,1,Actual,Actuals,public,6.301,
1923-06-01,1923,19232,192306,1,Actual,Actuals,public,6.2472,
1923-07-01,1923,19233,192307,1,Actual,Actuals,public,6.1933,
1923-08-01,1923,19233,192308,1,Actual,Actuals,public,6.0856,
1923-09-01,1923,19233,192309,1,Actual,Actuals,public,5.951,
1923-10-01,1923,19234,192310,1,Actual,Actuals,public,5.9241,
1923-11-01,1923,19234,192311,1,Actual,Actuals,public,5.9241,
1923-12-01,1923,19234,192312,1,Actual,Actuals,public,5.7894,
1924-01-01,1924,19241,192401,1,Actual,Actuals,public,5.924,
1924-02-01,1924,19241,192402,1,Actual,Actuals,public,6.0318,
1924-03-01,1924,19241,192403,1,Actual,Actuals,public,5.9241,
1924-04-01,1924,19242,192404,1,Actual,Actuals,public,5.7356,
1924-05-01,1924,19242,192405,1,Actual,Actuals,public,5.4932,
1924-06-01,1924,19242,192406,1,Actual,Actuals,public,5.2509,
