Date,Country,Segment,Driver,SHAP_Value_monthly_USD
202601,US,Defense,ADEFNO,12757748.37
202601,US,Defense,ADEFNO_diff,-7769690.21
202601,US,Defense,IPB52300S,462276419.0
202601,US,Defense,IPB52300S_diff,-5993361.9
202601,US,Defense,FDEFX_diff,-24931102.99
202601,US,Defense,ADEFNO_lag_1,8683151.26
202601,US,Defense,ADEFNO_lag_3,28406019.01
202601,US,Defense,ADEFNO_lag_6,-16462980.46
202601,US,Defense,ADEFNO_lag_9,9494687.12
202601,US,Defense,ADEFNO_lag_12,5764251.57
202601,US,Defense,ADEFNO_lag_18,6448070.83
202601,US,Defense,ADEFNO_lag_24,-363838.98
202601,US,Defense,ADEFNO_diff_lag_1,-6649229.68
202601,US,Defense,ADEFNO_diff_lag_3,10689494.51
202601,US,Defense,IPB52300S_diff_lag_1,-2342312.29
202601,US,Defense,IPB52300S_diff_lag_2,-487475.81
202601,US,Defense,IPB52300S_diff_lag_3,4316744.39
202601,US,Defense,IPB52300S_diff_lag_4,3914415.22
202601,US,Defense,IPB52300S_diff_lag_5,-12531455.61
202601,US,Defense,IPB52300S_diff_lag_6,10174413.52
202601,US,Defense,fdefx_lag_1,3973061879.48
202601,US,Defense,fdefx_lag_2,2313862959.54
202601,US,Defense,fdefx_lag_3,4336572647.09
202601,US,Defense,fdefx_lag_4,22578532.5
202601,US,Defense,fdefx_lag_5,64251080.16
202601,US,Defense,fdefx_lag_6,1196354389.19
202601,US,Defense,fdefx_rolling_3m_mean,1492531299.59
202601,US,Defense,fdefx_rolling_6m_mean,410136381.79
202601,US,Defense,fdefx_rolling_12m_mean,199679056.8
202601,US,Defense,month,-45459667.84
202601,US,Defense,quarter,-29116486.51
202601,US,Defense,is_q4,17134.47
202601,US,Defense,base_value,61127024332.68
202601,US,Defense,prediction,75546859741.21
202602,US,Defense,ADEFNO,9562795.98
202602,US,Defense,ADEFNO_diff,-6277613.96
202602,US,Defense,IPB52300S,466808875.4
202602,US,Defense,IPB52300S_diff,-5986684.31
202602,US,Defense,FDEFX_diff,-22355849.54
202602,US,Defense,ADEFNO_lag_1,7733785.86
202602,US,Defense,ADEFNO_lag_3,29016631.34
202602,US,Defense,ADEFNO_lag_6,-10811922.45
202602,US,Defense,ADEFNO_lag_9,12166409.44
202602,US,Defense,ADEFNO_lag_12,6238320.84
202602,US,Defense,ADEFNO_lag_18,6192707.15
202602,US,Defense,ADEFNO_lag_24,3955759.73
202602,US,Defense,ADEFNO_diff_lag_1,-7084880.02
202602,US,Defense,ADEFNO_diff_lag_3,1579890.34
202602,US,Defense,IPB52300S_diff_lag_1,-7129453.74
202602,US,Defense,IPB52300S_diff_lag_2,14013234.53
202602,US,Defense,IPB52300S_diff_lag_3,-2889528.25
202602,US,Defense,IPB52300S_diff_lag_4,1002090.05
202602,US,Defense,IPB52300S_diff_lag_5,-4049220.43
202602,US,Defense,IPB52300S_diff_lag_6,-19615314.9
202602,US,Defense,fdefx_lag_1,3952494939.17
202602,US,Defense,fdefx_lag_2,2313560803.73
202602,US,Defense,fdefx_lag_3,4339126269.02
202602,US,Defense,fdefx_lag_4,22501572.97
202602,US,Defense,fdefx_lag_5,63246066.37
202602,US,Defense,fdefx_lag_6,1191775004.07
202602,US,Defense,fdefx_rolling_3m_mean,1507508754.73
202602,US,Defense,fdefx_rolling_6m_mean,410136381.79
202602,US,Defense,fdefx_rolling_12m_mean,200010319.55
202602,US,Defense,month,-50144429.01
202602,US,Defense,quarter,-28344228.86
