Date,Country,Segment,Scenario,Net_Value_USD
202601,US,Defense,Conservative,3018448.63
202601,US,Defense,Realistic,7546121.58
202601,US,Defense,Optimistic,15092243.16
202602,US,Defense,Conservative,2296523.24
202602,US,Defense,Realistic,5741308.11
202602,US,Defense,Optimistic,11482616.21
202603,US,Defense,Conservative,2023574.22
202603,US,Defense,Realistic,5058935.55
202603,US,Defense,Optimistic,10117871.09
202604,US,Defense,Conservative,2004189.65
202604,US,Defense,Realistic,5010474.12
202604,US,Defense,Optimistic,10020948.24
202605,US,Defense,Conservative,2220185.94
202605,US,Defense,Realistic,5550464.84
202605,US,Defense,Optimistic,11100929.69
202606,US,Defense,Conservative,2520186.33
202606,US,Defense,Realistic,6300465.82
202606,US,Defense,Optimistic,12600931.64
202607,US,Defense,Conservative,2742625.98
202607,US,Defense,Realistic,6856564.94
202607,US,Defense,Optimistic,13713129.88
202608,US,Defense,Conservative,2851606.05
202608,US,Defense,Realistic,7129015.14
202608,US,Defense,Optimistic,14258030.27
202609,US,Defense,Conservative,2799565.82
202609,US,Defense,Realistic,6998914.55
202609,US,Defense,Optimistic,13997829.1
202610,US,Defense,Conservative,2728831.05
202610,US,Defense,Realistic,6822077.64
202610,US,Defense,Optimistic,13644155.27
202611,US,Defense,Conservative,2688120.7
202611,US,Defense,Realistic,6720301.76
202611,US,Defense,Optimistic,13440603.52
202612,US,Defense,Conservative,2704077.34
202612,US,Defense,Realistic,6760193.36
202612,US,Defense,Optimistic,13520386.72
