date,ADEFNO,ADEFNO_diff,IPB52300S,IPB52300S_diff,FDEFX,FDEFX_diff
2000-02,5162,-1997.0,69.3458,-1.6863000000000028,383.028,0.0
2000-03,3773,-1389.0,68.6844,-0.6614000000000004,383.028,0.0
2000-04,3568,-205.0,67.3689,-1.3155000000000001,399.592,16.563999999999965
2000-05,5023,1455.0,66.5616,-0.8072999999999979,399.592,0.0
2000-06,25893,20870.0,67.1028,0.5412000000000035,399.592,0.0
2000-07,4826,-21067.0,68.4224,1.319599999999994,391.017,-8.574999999999989
2000-08,5570,744.0,66.8047,-1.6176999999999992,391.017,0.0
2000-09,4392,-1178.0,64.6734,-2.131299999999996,391.017,0.0
2000-10,4862,470.0,66.8635,2.190100000000001,396.642,5.625
2000-11,6511,1649.0,69.1519,2.2883999999999958,396.642,0.0
2000-12,2580,-3931.0,69.6651,0.5131999999999977,396.642,0.0
2001-01,4326,1746.0,71.6995,2.034400000000005,404.456,7.814000000000021
2001-02,5347,1021.0,71.5565,-0.14300000000000068,404.456,0.0
2001-03,8269,2922.0,73.5252,1.9686999999999983,404.456,0.0
2001-04,5687,-2582.0,73.902,0.3768000000000029,410.022,5.565999999999974
2001-05,6226,539.0,74.5925,0.6905000000000001,410.022,0.0
2001-06,5034,-1192.0,75.8183,1.2257999999999925,410.022,0.0
2001-07,5864,830.0,76.6463,0.828000000000003,415.419,5.396999999999991
2001-08,5182,-682.0,75.5899,-1.0563999999999965,415.419,0.0
2001-09,7592,2410.0,76.0957,0.5057999999999936,415.419,0.0
2001-10,18144,10552.0,76.088,-0.007699999999999818,422.75,7.331000000000017
2001-11,5702,-12442.0,75.2582,-0.8297999999999917,422.75,0.0
2001-12,6360,658.0,75.2143,-0.04390000000000782,422.75,0.0
2002-01,4110,-2250.0,74.6029,-0.6113999999999891,440.905,18.154999999999973
2002-02,8371,4261.0,74.1653,-0.4376000000000033,440.905,0.0
2002-03,8821,450.0,73.8769,-0.28839999999999577,440.905,0.0
2002-04,6438,-2383.0,73.9999,0.12299999999999045,452.478,11.573000000000036
2002-05,5231,-1207.0,73.87,-0.12989999999999213,452.478,0.0
2002-06,6104,873.0,74.6793,0.8092999999999932,452.478,0.0
2002-07,5596,-508.0,75.0536,0.3743000000000052,460.19,7.711999999999989
2002-08,6988,1392.0,75.3224,0.2687999999999988,460.19,0.0
2002-09,7189,201.0,76.3442,1.021799999999999,460.19,0.0
2002-10,4573,-2616.0,77.4374,1.093199999999996,482.157,21.966999999999985
2002-11,5744,1171.0,77.0158,-0.421599999999998,482.157,0.0
2002-12,7032,1288.0,79.8112,2.7954000000000008,482.157,0.0
2003-01,7315,283.0,79.6898,-0.12139999999999418,494.975,12.81800000000004
2003-02,8728,1413.0,80.8998,1.2099999999999937,494.975,0.0
2003-03,8107,-621.0,80.8643,-0.03549999999999898,494.975,0.0
2003-04,9494,1387.0,80.5212,-0.34310000000000684,521.93,26.954999999999927
2003-05,8817,-677.0,81.0358,0.5146000000000015,521.93,0.0
2003-06,7363,-1454.0,80.9166,-0.1191999999999922,521.93,0.0
2003-07,7269,-94.0,80.4874,-0.4292000000000087,524.011,2.0810000000000173
2003-08,9277,2008.0,80.7072,0.21980000000000643,524.011,0.0
2003-09,7508,-1769.0,80.8649,0.1577000000000055,524.011,0.0
2003-10,8815,1307.0,80.6847,-0.18019999999999925,543.967,19.956000000000017
2003-11,7268,-1547.0,80.1333,-0.551400000000001,543.967,0.0
2003-12,10311,3043.0,78.2466,-1.8867000000000047,543.967,0.0
2004-01,9652,-659.0,75.9316,-2.3149999999999977,556.149,12.182000000000016
2004-02,9114,-538.0,77.3544,1.4227999999999952,556.149,0.0
2004-03,8360,-754.0,77.6461,0.29170000000000584,556.149,0.0
2004-04,9152,792.0,77.6133,-0.03280000000000882,562.839,6.690000000000055
2004-05,6734,-2418.0,78.137,0.5237000000000052,562.839,0.0
2004-06,8963,2229.0,77.2584,-0.8786000000000058,562.839,0.0
2004-07,8434,-529.0,78.6362,1.3778000000000077,580.699,17.8599999999999
2004-08,6289,-2145.0,79.2631,0.626899999999992,580.699,0.0
2004-09,8748,2459.0,80.8067,1.543600000000012,580.699,0.0
2004-10,8883,135.0,80.5931,-0.21359999999999957,579.825,-0.87399999999991
2004-11,7674,-1209.0,81.3533,0.7601999999999975,579.825,0.0
2004-12,6971,-703.0,82.3078,0.9544999999999959,579.825,0.0
2005-01,6483,-488.0,82.1112,-0.19660000000000366,598.417,18.591999999999985
2005-02,6846,363.0,85.1807,3.069500000000005,598.417,0.0
2005-03,5859,-987.0,86.888,1.7073000000000036,598.417,0.0
2005-04,6747,888.0,88.2395,1.3515000000000015,605.982,7.564999999999941
2005-05,7633,886.0,87.584,-0.6555000000000035,605.982,0.0
2005-06,8951,1318.0,88.3059,0.7218999999999909,605.982,0.0
2005-07,6365,-2586.0,87.6683,-0.637599999999992,616.39,10.408000000000015
